"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 20:56:42 GMT 2022","Mon Jul 04 20:56:45 GMT 2022","3513","","PortioTest","","PortioTest","articlesListTest","articlesListTest()","List from articles title"
"passed","Mon Jul 04 20:56:45 GMT 2022","Mon Jul 04 20:56:46 GMT 2022","1057","","PortioTest","","PortioTest","regMeTest","regMeTest()","User Registration"
"passed","Mon Jul 04 20:56:50 GMT 2022","Mon Jul 04 20:56:51 GMT 2022","617","","PortioTest","","PortioTest","xTest","xTest()","Terms and Condition decline"
"passed","Mon Jul 04 20:56:38 GMT 2022","Mon Jul 04 20:56:42 GMT 2022","3448","","PortioTest","","PortioTest","saveBlogTextTest","saveBlogTextTest()","Save data from Site"
"passed","Mon Jul 04 20:56:54 GMT 2022","Mon Jul 04 20:56:58 GMT 2022","3960","","PortioTest","","PortioTest","repeatedUserRegTest","repeatedUserRegTest()","Repeated user registration"
"passed","Mon Jul 04 20:56:36 GMT 2022","Mon Jul 04 20:56:38 GMT 2022","1997","","PortioTest","","PortioTest","acceptTest","acceptTest()","Terms and Condition accept"
"passed","Mon Jul 04 20:56:53 GMT 2022","Mon Jul 04 20:56:54 GMT 2022","1689","","PortioTest","","PortioTest","loginMeTest","loginMeTest()","Login"
"passed","Mon Jul 04 20:56:48 GMT 2022","Mon Jul 04 20:56:50 GMT 2022","2038","","PortioTest","","PortioTest","profileNewDataTest","profileNewDataTest()","Profile modification"
"passed","Mon Jul 04 20:56:51 GMT 2022","Mon Jul 04 20:56:53 GMT 2022","2081","","PortioTest","","PortioTest","deleteProfileTest","deleteProfileTest()","Delete profile"
"passed","Mon Jul 04 20:56:46 GMT 2022","Mon Jul 04 20:56:48 GMT 2022","1894","","PortioTest","","PortioTest","logoutTest","logoutTest()","Logout"
